SE,casos_est,casos,p_rt1,p_inc100k,tempmin,tempmed,tempmax,umidmin,umidmed,umidmax
202534,421.0,421,0.99939424,58.035423,13.8956571428571,19.7569142857143,26.9003428571429,36.8894714285714,65.0353714285714,85.4518142857143
202533,333.0,333,0.47933686,45.904507,9.4262,13.6959571428571,19.7660714285714,47.1230285714286,74.1739142857143,92.3893857142857
202532,321.0,321,0.13924894,44.25029,11.4309714285714,16.1973,21.8069142857143,44.9698285714286,70.7829,89.4705142857143
202531,332.0,332,0.061401464,45.766655,9.3484,14.8937,21.5528142857143,41.8530428571429,68.6186285714286,87.5137142857143
202530,352.0,352,0.04139905,48.52368,11.3458857142857,16.0301285714286,22.2481285714286,49.4506571428571,77.1422285714286,93.9252
202529,353.0,353,0.003567854,48.661533,9.40991428571429,15.0262,21.2727714285714,41.6002571428571,69.5160428571429,90.8839428571429
202528,441.0,441,0.055148393,60.792454,10.4856857142857,14.4197571428571,19.6671714285714,52.1168571428571,78.9902571428571,97.0397428571429
202527,371.0,371,0.0,51.142857,12.2234857142857,14.8100285714286,18.5617428571429,66.7286571428571,84.4789428571429,94.1092571428571
202526,494.0,494,1.66e-08,68.09857,11.5414714285714,16.2411142857143,22.6787571428571,50.4464142857143,74.8771285714286,89.8373857142857
202525,595.0,595,0.0,82.02156,9.77032857142857,15.8423142857143,22.7122,47.8988571428571,71.9372714285714,88.4556571428571
202524,573.0,573,0.0,78.98883,11.1011142857143,14.1412285714286,18.0668285714286,63.6779571428571,83.7810428571429,95.6071285714286
202523,894.0,894,0.0,123.23912,13.2367285714286,17.3432428571429,22.5754714285714,60.6385428571429,82.6568428571429,96.0640142857143
202522,1123.0,1123,0.0,154.80708,12.3642142857143,16.9495285714286,22.6814571428571,51.8407,75.1701142857143,90.1092428571429
202521,1487.0,1487,0.0001796448,204.98499,14.1516714285714,18.5960714285714,23.0703142857143,58.5712,77.3917857142857,92.5122571428571
202520,1739.0,1739,0.89081264,239.72353,13.4187714285714,17.0241,21.4607571428571,59.5587285714286,81.4256571428571,95.5475571428571
202519,1730.0,1730,0.9584012,238.48286,14.0512571428571,19.1068142857143,24.9255857142857,50.9340857142857,75.6745857142857,91.8219571428571
202518,1650.0,1650,0.871686,227.45476,14.9750714285714,18.3778285714286,22.6874,59.4433857142857,82.3355428571429,96.7332285714286
202517,1673.0,1673,0.97047824,230.62534,16.6480571428571,19.1323285714286,22.6235,69.5373142857143,86.2720428571429,96.4144571428571
202516,1566.0,1566,0.39290193,215.87524,16.8759571428571,20.4015714285714,24.6334142857143,64.9573142857143,82.9252285714286,95.8276714285714
202515,1543.0,1543,0.1592031,212.70465,15.4034571428571,19.0116857142857,23.4463,63.4501142857143,81.8735428571429,94.8909
202514,1594.0,1594,0.54726225,219.73508,18.6283,21.6689,25.4155714285714,67.3065428571429,84.3351428571429,95.3344857142857
202513,1624.0,1624,0.8955475,223.87062,17.5583142857143,21.7272857142857,26.2937428571429,62.1700142857143,81.1396285714286,95.0912714285714
202512,1619.0,1619,0.92635345,223.18137,17.7635571428571,20.8759714285714,24.7803571428571,66.9127857142857,84.3798428571429,96.5241714285714
202511,1544.0,1544,0.44308424,212.84251,19.4983857142857,23.0922857142857,27.7181428571429,59.9984,81.1766,95.9974428571429
202510,1512.0,1512,0.38469136,208.43126,18.0042714285714,23.4399857142857,29.0996857142857,41.9574857142857,70.0857285714286,92.5675857142857
202509,1565.0,1565,0.99941087,215.73738,18.4151857142857,23.7852857142857,28.9904142857143,46.5259,72.9275428571429,93.9798142857143
202508,1632.0,1632,1.0,224.97343,20.1131142857143,24.6095142857143,29.1742571428571,56.8421285714286,76.4870857142857,92.7047857142857
202507,1451.0,1451,1.0,200.02234,18.9396714285714,23.2725857142857,27.9576142857143,55.6886571428571,77.5068142857143,93.8631571428571
202506,1135.0,1135,1.0,156.4613,19.4619428571429,23.1286,27.0745571428571,63.3517714285714,81.6348142857143,94.1834
202505,966.0,966,1.0,133.16441,19.8162142857143,21.9261,24.6653142857143,77.6926857142857,89.3995714285714,96.7301428571429
202504,817.0,817,0.99998766,112.624565,19.8965857142857,24.5109428571429,28.9037,58.6013142857143,75.6011857142857,91.282
202503,700.0,700,0.9998601,96.49596,17.9848142857143,21.2488714285714,25.2415428571429,65.0171571428571,81.6609714285714,93.9964714285714
202502,697.0,697,1.0,96.082405,17.6798142857143,21.0208285714286,25.2379714285714,64.4236142857143,82.5213,95.7794571428571
202501,560.0,560,0.9390138,77.19676,18.0405428571429,21.8218285714286,26.4286285714286,65.3971857142857,82.5887428571429,94.7348285714286
202452,456.0,456,0.0017693321,62.86022,19.3304571428571,21.7503714285714,24.8384,73.7151428571429,86.3039,95.1886285714286
202451,495.0,495,0.0014833105,68.23643,18.2247,22.0782428571429,26.7548142857143,55.9006285714286,77.5887571428571,93.1933428571429
202450,569.0,569,0.03905934,78.43742,18.4433285714286,21.8030714285714,26.0453285714286,60.3564857142857,81.3932285714286,95.3477
202449,567.0,567,0.03239189,78.16173,19.4050142857143,22.7543714285714,26.9598428571429,62.7429571428571,80.6790285714286,94.4986571428571
202448,682.0,682,0.98357695,94.01463,17.4740142857143,22.2966142857143,27.4360857142857,49.5779714285714,71.2792571428571,89.5727285714286
202447,639.0,639,0.9505117,88.08702,17.4668714285714,21.3092,25.8260142857143,58.7854142857143,80.4139285714286,96.5608
202446,606.0,606,0.7922549,83.537926,16.0073428571429,19.7505142857143,24.5155571428571,60.997,80.9531142857143,94.5257428571429
202445,577.0,577,0.41057497,79.54024,18.7277428571429,20.8417428571429,23.9309428571429,72.0376714285714,87.3185571428571,95.7442428571429
