SE,casos_est,casos,p_rt1,p_inc100k,tempmin,tempmed,tempmax,umidmin,umidmed,umidmax,tempmed_lag2,tempmed_lag4,umidmed_lag2,umidmed_lag4,casos_lag1,casos_lag2
202103,95.0,95,0.9974473,13.018389,21.1428571428571,26.2145561428571,31.5714285714286,38.7406251428571,64.5490247142857,87.7411885714286,24.6390977142857,23.5530348571429,70.859705,63.3240498571429,82.0,65.0
202104,78.0,78,0.5229673,10.688783,21.2857142857143,26.1214348571429,31.0,39.1844567142857,63.177207,83.8114122857143,24.4740282857143,23.23839,78.392002,76.781333,95.0,82.0
202105,81.0,81,0.3889739,11.09989,20.1428571428571,24.4015871428571,29.8571428571429,50.263611,74.4909665714286,93.2148914285714,26.2145561428571,24.6390977142857,64.5490247142857,70.859705,78.0,95.0
202106,79.0,79,0.38558757,10.825818,18.5714285714286,21.9310777142857,26.0,57.5784094285714,75.4205928571429,89.96037,26.1214348571429,24.4740282857143,63.177207,78.392002,81.0,78.0
202107,100.0,100,0.9193614,13.7035675,19.5714285714286,23.8784468571429,29.2857142857143,45.8131642857143,72.615598,91.6007914285714,24.4015871428571,26.2145561428571,74.4909665714286,64.5490247142857,79.0,81.0
202108,92.0,92,0.703097,12.607282,19.5714285714286,22.7100668571429,26.4285714285714,60.0776097142857,76.598198,90.1278442857143,21.9310777142857,26.1214348571429,75.4205928571429,63.177207,100.0,79.0
202109,131.0,131,0.9945264,17.951674,20.1428571428571,23.492732,27.1428571428571,55.5112768571429,75.2692014285714,91.5899728571429,23.8784468571429,24.4015871428571,72.615598,74.4909665714286,92.0,100.0
202110,154.0,154,0.99874145,21.103493,19.4285714285714,22.8723891428571,27.2857142857143,53.4315938571429,76.17013,92.3434362857143,22.7100668571429,21.9310777142857,76.598198,75.4205928571429,131.0,92.0
202111,192.0,192,0.9998409,26.310848,19.7142857142857,23.5614972857143,28.0,54.6209534285714,75.82589,92.3921285714286,23.492732,23.8784468571429,75.2692014285714,72.615598,154.0,131.0
202112,192.0,192,0.97551954,26.310848,20.0,25.5978041428571,31.4285714285714,35.6417915714286,66.7215834285714,93.1767534285714,22.8723891428571,22.7100668571429,76.17013,76.598198,192.0,154.0
202113,221.0,221,0.9805301,30.284883,18.1428571428571,22.7591078571429,28.4285714285714,45.0634418571429,71.0446722857143,93.1738777142857,23.5614972857143,23.492732,75.82589,75.2692014285714,192.0,192.0
202114,264.0,264,0.998623,36.177418,15.7142857142857,21.1082262857143,25.8571428571429,46.5471154285714,70.2885894285714,91.3336034285714,25.5978041428571,22.8723891428571,66.7215834285714,76.17013,221.0,192.0
202115,257.0,257,0.9373275,35.218166,16.0,21.0907267142857,26.1428571428571,45.2884902857143,66.9014524285714,88.9066328571429,22.7591078571429,23.5614972857143,71.0446722857143,75.82589,264.0,221.0
